include,v,do,id,powo,taxon_name,taxon_authors,species_syn,species_alt,group,item,description,related,also,source,petruzzello,hill,dalby,vanwyk,anderson,katzer,ucla,polyu,freq,category,tag,comment,kingdom,part,wikipedia,britannica,common_names,wyk_name,dalby_name,hill_name,anderson_name,katzer_name,amar_name,hu_name,wiki_name,other_name,etymologies,wiktionary,plant name,region_of_origin,origin dalby,lat,lon,location,macroarea,cultivation,color,taste_smell,heat,major_uses,ill_source,ill_page,ill_key,ill_link,other_links,wn_plant,wn,wn_comment,English,en_alt,Arabic,ar,ar_literal,ar_alt,Chinese,zh,zh_literal,zh_alt,zh_notes,Hungarian,hu_literal,hu_alt,hu_notes,Cantonese,yu,yu literal,notes,operative,pharmaceutical,tcm,tcm_db,tcm_url,tcm_zh,tcm_pinyin,tcm_en,tcm_desc,medicinal_group,nature_and_flavors,meridian_affinity,action,foc,hu_history_1990,year recorded in TCM,ayurveda,gbif,trop,eol,ncbi,Hindi,hi,hi literal,Hi alt ,Indonesian,Persian
maybe,9.0,,,,,,,,,"Palmarosa oil, rosha grass",root of Cymbopogon martini,,,dalby_2000_dangerous,,,1.0,,,,,,1,,,,Plantae,,,,,,"Palmarosa oil, rosha grass",,,,,,,,,,,,southern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Mediasia macrophylla,,,,,pamir; large-leaved mediasia,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,fruit,,,,pamir; large-leaved mediasia,,,,,,,,,,,,As,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,9.0,,,,,,,,,Panama wood,Quillaja saponaria,,,dalby_2000_dangerous,,,1.0,,,,,,1,,,,Plantae,,,,,,Panama wood,,,,,,,,,,,,South America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,11.0,,,,Pandanus amaryllifolius,,,,,pandan; fragrant pandan,,,,vanwyk_2014_culinary,,,,1.0,,1.0,,,2,,,,Plantae,wilted leaves,,,,pandan; fragrant pandan,,,,,,,,pandanus leaf,,,,Trop As (Moluccas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,6.0,,,,,,,,,pandanus flower,,,,katzer_2006_gernot,,,,,,1.0,,,1,,,,Plantae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,9.0,,,,,,,,,"Pandanus, screwpine",leaf of Pandanus tectorius,,,dalby_2000_dangerous,,,1.0,,,,,,1,,,,Plantae,,,,,,"Pandanus, screwpine",,,,,,,,,,,,southern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,17.0,,,,Carica papaya,L.,,,,papaya,,,,hu_history_1990,,,,,,,,,0,fruit,,,Plantae,fruit,,,,,,,,,,,,,,,,Tr Am,,9.0,-81.0,,Americas,,,,,,,,,,,,,,,,,,,,木瓜,mùguā,tree-melon,,,,,,,,,,,,,,,,,fanmugua,,,,,,,,yes,1848,,,,,,,,,,,
maybe,4.0,,,,,,,,,papaya seeds,,,,,,,,,,,,,0,,,,Plantae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,6.0,,,,,,,,,paracress,,,,katzer_2006_gernot,,,,,,1.0,,,1,,,,Plantae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Pastinaca sativa,,,,,parsnip,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,leaf; root,,,,parsnip,,,,,,,,,,,,Eur; W As,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,9.0,,,,,,,,,Patchouli,essential oil of Pogostemon cablin,,,dalby_2000_dangerous,,,1.0,,,,,,1,,,,Plantae,,,,,,Patchouli,,,,,,,,,,,,south-east Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Pogostemon cablin,,,,,patchouli; patchouly,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,leaf,,,,patchouli; patchouly,,,,,,,,,,,,Indomal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,9.0,,,,Arachis hypogaea,,,,,peanut,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,Plantae,seed,,,,peanut; ground nut,,,,,,,,,,,,S Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Chloranthus spicatus,,,,,pearl orchid flower; chulan; cha ran,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,flower; leaf,,,,pearl orchid flower; chulan; cha ran,,,,,,,,,,,,SE As,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Mentha pulegium,,,,,pennyroyal; pudding grass,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,leaf; herb,,,,pennyroyal; pudding grass,,,,,,,,,,,,Eur; W As,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Peperomia pellucida,,,,,pepper elder; rabbit ear,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,herb,,,,pepper elder; rabbit ear,,,,,,,,,,,,Trop Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Warburgia salutaris,,,,,pepperbark tree,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,leaf; bark,,,,pepperbark tree,,,,,,,,,,,,E Afr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,5.0,,,,,,,,,Pepperleaf,,,,hill_contemporary_2004,,1.0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,27.0,,,,Mentha × piperita,,,,,peppermint,,,,vanwyk_2014_culinary,1.0,,,1.0,,1.0,,1.0,4,herb,,,Plantae,leaf; herb,https://en.wikipedia.org/wiki/Mentha,,,peppermint,,,,,,,,,,,,cultigen (Britain),,,,,,,,,,,,I 67,,,,,,,,,,,,,薄荷,bóhé,,,,,,,,,,,,,Menthae Herba,1.0,polyu-tcm,,薄荷,bóhé,peppermint,Dried aerial part of Mentha haplocalyx Briq (Fam. Labiatae),Wind-heat dispersing medicinal,pungent; cool,"Liver, Lung",,,,,,,,,,,,,,,
maybe,8.0,,,,Pelargonium tomentosum,,,,,peppermint-scented geranium,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,leaf,,,,peppermint-scented geranium,,,,,,,,,,,,S Afr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,6.0,,,,,,,,,perilla,,,,katzer_2006_gernot,,,,,,1.0,,,1,,,,Plantae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,9.0,,,,,,,,,"Peruvian pepper, California pepper",fruit of Schinus molle,,See also Uchu,dalby_2000_dangerous,,,1.0,,,,,,1,,,,Plantae,,,,,,"Peruvian pepper, California pepper",,,,,,,,,,,,Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Parkia speciosa,,,,,petai; locust bean,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,seed,,,,petai; locust bean,,,,,,,,,,,,Trop As,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,5.0,,,,,,,,,Piments d'Espelette,,,,hill_contemporary_2004,,1.0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,9.0,,,,,,,,,Pine kernel,seed of Pinus pinea,,,dalby_2000_dangerous,,,1.0,,,,,,1,,,,Plantae,,,,,,Pine kernel,,,,,,,,,,,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Pinus pinea,,,,,pine nuts; pine seeds; pignoles,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,seed,,,,pine nuts; pine seeds; pignoles,,,,,,,,,,,,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Salvia elegans (=S. rutilans),,,,,pineapple sage; pineapple-scented sage,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,leaf; herb,,,,pineapple sage; pineapple-scented sage,,,,,,,,,,,,C Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Clausena excavata,,,,,pink lime-berry; Hollywood clausena,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,leaf,,,,pink lime-berry; Hollywood clausena,,,,,,,,,,,,SE As,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,9.0,,,,,,,,,"Pink peppercorns, red peppercorns, baies roses, Brazilian pepper",fruit of Schinus terebinthif olius,,,dalby_2000_dangerous,,,1.0,,,,,,1,,,,Plantae,,,,,,"Pink peppercorns, red peppercorns, baies roses, Brazilian pepper",,,,,,,,,,,,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Pinus edulis,,,,,piñon,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,seed,,,,piñon,,,,,,,,,,,,N Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Pistacia vera,,,,,pistachio,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,seed,,,,pistachio,,,,,,,,,,,,W As,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,21.0,,,,Punica granatum,L.,,,,pomegranate,,,,vanwyk_2014_culinary,,,,1.0,,1.0,,,2,fruit,,,Plantae,seed,https://en.wikipedia.org/wiki/Pomegranate,,,pomegranate; anardana,,,,pomegranate,,,,pomegranate seeds,,,,West Asia,,,,Iran,W. Asia,,,,,,,,,,,,,,,,,,,,石榴,shílíu,Arsacid lump,https://en.wiktionary.org/wiki/%E5%AE%89%E7%9F%B3%E6%A6%B4,,gránátalma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,5.0,,,,,,,,,Pomegranate Seeds,,,,hill_contemporary_2004,,1.0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,24.0,,,,Papaver somniferum,L.,,,,poppy seed,,,,vanwyk_2014_culinary,,,,1.0,,1.0,1,,3,,,,Plantae,seed,,,,opium poppy; poppy,,,,,,,,,,,opium poppy,Med,,42.0,9.0,,,,,"nutty, aromatic",0,"confectionary, salads",,I 37,,,,,,,poppy seeds,,,,,,罌粟,yīngsù,,,,mák,,,,,,,,,,,,,,,,,,,,,,yes,973,,,,,,,,,,,
maybe,9.0,,,,,,,,,"Poppy seed, opium",Papaver somniferum,,,dalby_2000_dangerous,,,1.0,,,,,,1,,,,Plantae,,,,,,"Poppy seed, opium",,,,,,,,,,,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,5.0,,,,,,,,,Poppy Seeds,,,,hill_contemporary_2004,,1.0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Calendula officinalis,,,,,pot marigold; marigold flower; calendula,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,flower,,,,pot marigold; marigold flower; calendula,,,,,,,,,,,,S Eur?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Origanum onites,,,,,pot marjoram,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,herb,,,,pot marjoram,,,,,,,,,,,,Eur; E Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Echinophora tenuifolia,,,,,prickly parsnip,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,leaf; stalk,,,,prickly parsnip,,,,,,,,,,,,Eur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,6.0,,,,,,,,,pumpkin,,,,katzer_2006_gernot,,,,,,1.0,,,1,,,,Plantae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Portulaca oleracea,,,,,purslane,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,leaf,,,,purslane,,,,,,,,,,,,W As,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,9.0,,,,,,,,,"Putchuk, costus, kushth",root of Saussurea lappa,,,dalby_2000_dangerous,,,1.0,,,,,,1,,,,Plantae,,,,,,"Putchuk, costus, kushth",,,,,,,,,,,,Kashmir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Porophyllum ruderale,,,,,quillquina; killi,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,fresh leaves,,,,quillquina; killi,,,,,,,,,,,,C Am; S Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,18.0,,,,Cinchona pubescens,Vahl,Cinchona succirubra Pav.,Cinchona ledgeriana (Howard) Bern.Moens ex Trimen,,quinine,,,,hu_history_1990,,,,,,,,,0,medicine,,,Plantae,bark,,,,,,,,,,,,chinabark,,,,S Am,,-9.0,-75.0,,Americas,,,,,malaria,,,,,,,,,,,,,,,金雞納, jīnjīnà,,,,,,,,,,,,,,,,,,jinjinapi,,,,,,,,yes,1765,,,,,,,,,,,
maybe,8.0,,,,Cinchona officinalis,,,,,quinine; chinabark; Peruvian bark; yellow cinchona; ledger bark; yellow bark,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,bark,,,,quinine; chinabark; Peruvian bark; yellow cinchona; ledger bark; yellow bark,,,,,,,,,,,,S Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Cinchona pubescens,,,,,quinine; red cinchona; red Peruvian; red bark; Jesuit bark,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,bark,,,,quinine; red cinchona; red Peruvian; red bark; Jesuit bark,,,,,,,,,,,,S Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Raphanus sativus,,,,,radish,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,root,,,,radish,,,,,,,,,,,,cultivated (W As?),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Allium tricoccum,,,,,ramp; wild leek; wood leek,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,bulb; leaf,,,,ramp; wild leek; wood leek,,,,,,,,,,,,N Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Alpinia purpurata,,,,,red ginger,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,leaf,,,,red ginger,,,,,,,,,,,,As; Pac; Malay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Mentha × smithiana,,,,,red mint; bergamot mint,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,leaf; herb,,,,red mint; bergamot mint,,,,,,,,,,,,Eur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,9.0,,,,,,,,,"Red sanders, +sanders",wood of Pterocarpus santalina,,,dalby_2000_dangerous,,,1.0,,,,,,1,,,,Plantae,,,,,,Red sanders,,,,,,,,,,,,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Ribes rubrum,,,,,redcurrant,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,fruit,,,,redcurrant,,,,,,,,,,,,Eur; As,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Sonneratia caseolaris,,,,,red-flowered Pornupan mangrove,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,young fruit,,,,red-flowered Pornupan mangrove,,,,,,,,,,,,Indomal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Rumex sanguineus,,,,,red-veined sorrel,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,leaf,,,,red-veined sorrel,,,,,,,,,,,,cultivated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Artemisia rehan,,,,,rehan; Ethiopian wormwood,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,leaf; herb,,,,rehan; Ethiopian wormwood,,,,,,,,,,,,Afr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Rheum rhaponticum (R. × cultorum),,,,,rhapontic rhubarb,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,petiole,,,,rhapontic rhubarb,,,,,,,,,,,,Eur?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Krameria lappacea,,,,,rhatany; Peruvian rhatany,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,root,,,,rhatany; Peruvian rhatany,,,,,,,,,,,,S Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,9.0,,,,,,,,,"Rhinoceros horn, 'horns of abath'",Rhinoceros spp.,,,dalby_2000_dangerous,,,1.0,,,,,,1,,,,Animalia,,,,,,"Rhinoceros horn, 'horns of abath'",,,,,,,,,,,,southern Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,9.0,,,,,,,,,"Rhubarb root, Canton rhubarb",Rheum officinale,,,dalby_2000_dangerous,,,1.0,,,,,,1,,,,Plantae,,,,,,"Rhubarb root, Canton rhubarb",,,,,,,,,,,,Tibet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Rheum rhabarbarum (R. × hybridum),,,,,rhubarb; garden rhubarb,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,petiole,,,,rhubarb; garden rhubarb,,,,,,,,,,,,Eur?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,6.0,,,,,,,,,rice paddy herb,,,,katzer_2006_gernot,,,,,,1.0,,,1,,,,Plantae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Limnophila aromatica,,,,,rice-paddy weed,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,herb,,,,rice-paddy weed,,,,,,,,,,,,SE As,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,9.0,,,,,,,,,Robusta coffee,seed of Coffea canephora,,,dalby_2000_dangerous,,,1.0,,,,,,1,,,,Plantae,,,,,,Robusta coffee,,,,,,,,,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Coffea canephora,,,,,robusta coffee; Congo coffee,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,seed,,,,robusta coffee; Congo coffee,,,,,,,,,,,,Afr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,10.0,,,,Eruca sativa,,,,,rocket,,,,vanwyk_2014_culinary,,,,1.0,,1.0,,,2,,,,Plantae,leaf; seed,,,,rocket; arugula,,,,,,,,,,,,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,9.0,,,,,,,,,"Rocoto, locoto, apple chilli",fruit of Capsicum pubescens,,,dalby_2000_dangerous,,,1.0,,,,,,1,,,,Plantae,,,,,,"Rocoto, locoto, apple chilli",,,,,,,,,,,,high Andes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Capsicum pubescens,,,,,rocoto; tree chilli,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,, fruit,,,,rocoto; tree chilli,,,,,,,,,,,,S Am (Andes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Chamaemelum nobile,,,,,Roman chamomile,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,flower,,,,Roman chamomile,,,,,,,,,,,,Eur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Glycyrrhiza echinata,,,,,Roman liquorice,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,rhizome,,,,Roman liquorice,,,,,,,,,,,,S Eur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Anacyclus pyrethrum,,,,,Roman pellitory; Spanish pellitory,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,root,,,,Roman pellitory; Spanish pellitory,,,,,,,,,,,,Eur; N Afr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Artemisia pontica,,,,,Roman wormwood; small absinth,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,leaf; herb,,,,Roman wormwood; small absinth,,,,,,,,,,,,Eur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Pelargonium × graveolens,,,,,rose geranium; Bourbon geranium; rose pelargonium; sweet-scented geranium,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,leaf,,,,rose geranium; Bourbon geranium; rose pelargonium; sweet-scented geranium,,,,,,,,,,,,cultivated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,5.0,,,,,,,,,Rose Petals,,,,hill_contemporary_2004,,1.0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Aniba rosaedora,,,,,rose wood,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,wood,,,,rose wood,,,,,,,,,,,,N Am; S Am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,8.0,,,,Hibiscus sabdariffa,,,,,roselle; hibiscus; karkade; Jamaica sorrel,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,calyx,,,,roselle; hibiscus; karkade; Jamaica sorrel,,,,,,,,,,,,Trop Afr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,9.0,,,,,,,,,Rose-mallows,wood of Altingia excelsa,,,dalby_2000_dangerous,,,1.0,,,,,,1,,,,Plantae,,,,,,Rose-mallows,,,,,,,,,,,,south-east Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,21.0,,,,Salvia rosmarinus,Spenn.,Rosmarinus officinalis L.,,,rosemary,,,,vanwyk_2014_culinary,1.0,1.0,,1.0,,1.0,,,4,herb,,,Plantae,leaf; herb,,,,rosemary,,,,,,,,,,,,S & N Eur; Med,,38.0,14.0,,Med,,,,,,,II 122,,,,,,,,,,,,,迷迭香,mí​dié​xiāng,,,,,,,,,,,,,,,,,,,,,,,,,,yes,739,,,,,,,,,,,
maybe,8.0,,,,Pelargonium capitatum,,,,,rose-scented geranium; rose geranium; rose pelargonium,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,,,,,leaf,,,,rose-scented geranium; rose geranium; rose pelargonium,,,,,,,,,,,,S Afr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
